2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
92,96,Gordon Rees Scully Mansukhani,442256000,508000,189,55724000,1032000,120,2.03,47,321000,197,75404000,197,151000,66.23,871,54,355,409,15.13,13,64000,198,"The American Lawyer, May 18, 2021",
93,94,Haynes and Boone,430200000,811000,109,156350000,1077000,114,1.33,114,858000,99,46500000,118,382000,26.18,531,145,91,237,2.65,36,295000,110,"The American Lawyer, May 18, 2021",
94,91,Ballard Spahr,426926000,721000,131,155621000,684000,166,0.95,189,684000,127,0,175,263000,38.02,592,227,0,227,1.61,36,263000,133,"The American Lawyer, May 18, 2021",
95,100,Husch Blackwell,417056000,622000,160,127754000,774000,151,1.24,138,538000,158,50425000,172,266000,37.59,670,165,166,331,3.06,31,191000,177,"The American Lawyer, May 18, 2021",
96,98,Dorsey & Whitney,414096000,812000,108,170338000,926000,134,1.14,157,727000,119,32470000,105,398000,25.13,510,184,95,279,1.77,41,334000,85,"The American Lawyer, May 18, 2021",
97,99,Steptoe & Johnson,393914000,1135000,48,135088000,1265000,97,1.11,163,1063000,72,23534000,80,457000,21.88,347,107,42,149,2.25,34,389000,69,"The American Lawyer, May 18, 2021",
98,95,Kramer Levin Naftalis & Frankel,390000000,1200000,41,154191000,2301000,46,1.92,57,1817000,41,42087000,41,604000,16.56,325,67,41,108,3.85,40,474000,46,"The American Lawyer, May 18, 2021",
99,103,Loeb & Loeb,385271000,943000,75,104057000,1892000,62,2.01,49,978000,80,86470000,74,466000,21.46,409,55,140,195,6.43,27,255000,140,"The American Lawyer, May 18, 2021",
100,101,"Baker, Donelson, Bearman, Caldwell & Berkowitz",372959000,606000,165,120778000,615000,180,1.01,180,504000,170,45173000,169,270000,37.04,615,196,133,330,2.13,32,196000,172,"The American Lawyer, May 18, 2021",
101,,Taft Stettinius & Hollister,365114000,622000,160,260005000,745000,157,1.2,142,745000,116,0,88,443000,22.57,587,349,0,349,0.68,71,443000,55,"The American Lawyer, May 18, 2021",
102,104,"Shook, Hardy & Bacon",364776000,728000,129,136602000,995000,124,1.37,110,720000,120,37597000,132,348000,28.74,501,137,104,242,2.65,37,273000,128,"The American Lawyer, May 18, 2021",
103,105,Wilson Elser Moskowitz Edelman & Dicker,362400000,416000,198,69400000,485000,195,1.17,149,345000,195,41400000,198,127000,78.74,870,143,179,322,5.09,19,80000,197,"The American Lawyer, May 18, 2021",
104,102,Williams & Connolly,362319000,1078000,61,160781000,1448000,81,1.34,112,1448000,50,0,70,479000,20.88,336,111,0,111,2.03,44,479000,44,"The American Lawyer, May 18, 2021",
105,107,Lowenstein Sandler,350129000,1102000,57,124137000,2533000,39,2.3,32,1539000,47,51466000,50,553000,18.08,318,49,65,114,5.48,35,391000,68,"The American Lawyer, May 18, 2021",
106,109,"Manatt, Phelps & Phillips",336800000,1123000,51,95500000,1540000,78,1.37,110,857000,100,49100000,69,482000,20.75,300,62,107,169,3.84,28,319000,91,"The American Lawyer, May 18, 2021",
107,108,Arent Fox,333600000,866000,96,107000000,1115000,109,1.29,123,778000,108,33000000,125,364000,27.47,385,96,84,180,3.01,32,278000,123,"The American Lawyer, May 18, 2021",
